block,metric,Gudea,Inanna's Descent,Inanna & Enki
БАЗА,Реальных строк текста,814,409,590
СОГЛАСИЕ: FUNCTION (состояние),внутри моделей,0.672,0.694,0.825
СОГЛАСИЕ: FUNCTION (состояние),модель↔модель,0.592,0.531,0.643
СОГЛАСИЕ: FUNCTION (состояние),человек↔модель,0.352,0.313,0.483
СОГЛАСИЕ: DIRECTION | function совпал,внутри моделей,0.628,0.584,0.65
СОГЛАСИЕ: DIRECTION | function совпал,модель↔модель,0.627,0.421,0.509
СОГЛАСИЕ: DIRECTION | function совпал,человек↔модель,0.135,0.407,0.267
СВОБОДА по СОСТОЯНИЮ (function),(A) per-file,0.374,0.418,0.271
СВОБОДА по СОСТОЯНИЮ (function),(B) per-source mix,0.43,0.479,0.318
СВОБОДА по СОСТОЯНИЮ (function),(C) JSD between-src,0.256,0.341,0.21
СВОБОДА по СОСТОЯНИЮ (function),(D) within-source H,0.248,0.236,0.169
СВОБОДА по СОСТОЯНИЮ (function),строк с JSD≥0.5,31,74,0
СВОБОДА по НАПРАВЛЕНИЮ (transition_to),(A) per-file,0.451,0.567,0.479
СВОБОДА по НАПРАВЛЕНИЮ (transition_to),(B) per-source mix,0.513,0.585,0.52
СВОБОДА по НАПРАВЛЕНИЮ (transition_to),(C) JSD between-src,0.257,0.317,0.318
СВОБОДА по НАПРАВЛЕНИЮ (transition_to),(D) within-source H,0.33,0.359,0.297
СВОБОДА по НАПРАВЛЕНИЮ (transition_to),строк с B≥0.5,471,294,352
